#twotheta, yobs, ycal, bkg, diff
1.154000e+001,6.500000e+002,6.944215e+002,6.857920e+002,-4.442153e+001
1.156000e+001,6.750000e+002,6.948082e+002,6.861494e+002,-1.980816e+001
1.158000e+001,6.470000e+002,6.951948e+002,6.865066e+002,-4.819483e+001
1.160000e+001,6.410000e+002,6.955815e+002,6.868638e+002,-5.458154e+001
1.162000e+001,7.090000e+002,6.959683e+002,6.872208e+002,1.303171e+001
1.164000e+001,6.640000e+002,6.963551e+002,6.875778e+002,-3.235509e+001
1.166000e+001,6.610000e+002,6.967419e+002,6.879346e+002,-3.574194e+001
1.168000e+001,6.320000e+002,6.971288e+002,6.882913e+002,-6.512883e+001
1.170000e+001,6.220000e+002,6.975158e+002,6.886479e+002,-7.551576e+001
1.172000e+001,6.070000e+002,6.979027e+002,6.890045e+002,-9.090275e+001
1.174000e+001,6.600000e+002,6.982898e+002,6.893609e+002,-3.828978e+001
1.176000e+001,6.870000e+002,6.986769e+002,6.897171e+002,-1.167687e+001
1.178000e+001,6.210000e+002,6.990640e+002,6.900733e+002,-7.806400e+001
1.180000e+001,6.470000e+002,6.994512e+002,6.904294e+002,-5.245119e+001
1.182000e+001,6.660000e+002,6.998384e+002,6.907854e+002,-3.383843e+001
1.184000e+001,6.610000e+002,7.002257e+002,6.911413e+002,-3.922572e+001
1.186000e+001,6.780000e+002,7.006131e+002,6.914970e+002,-2.261307e+001
1.188000e+001,7.050000e+002,7.010005e+002,6.918527e+002,3.999520e+000
1.190000e+001,6.580000e+002,7.013879e+002,6.922082e+002,-4.338794e+001
1.192000e+001,7.090000e+002,7.017755e+002,6.925636e+002,7.224531e+000
1.194000e+001,6.980000e+002,7.021631e+002,6.929190e+002,-4.163052e+000
1.196000e+001,6.810000e+002,7.025507e+002,6.932742e+002,-2.155070e+001
1.198000e+001,6.840000e+002,7.029384e+002,6.936293e+002,-1.893840e+001
1.200000e+001,6.800000e+002,7.033262e+002,6.939843e+002,-2.332618e+001
1.202000e+001,6.650000e+002,7.037140e+002,6.943392e+002,-3.871401e+001
1.204000e+001,6.970000e+002,7.041019e+002,6.946940e+002,-7.101913e+000
1.206000e+001,6.830000e+002,7.044899e+002,6.950487e+002,-2.148988e+001
1.208000e+001,6.920000e+002,7.048779e+002,6.954033e+002,-1.287792e+001
1.210000e+001,6.730000e+002,7.052660e+002,6.957577e+002,-3.226603e+001
1.212000e+001,6.510000e+002,7.056542e+002,6.961121e+002,-5.465420e+001
1.214000e+001,6.790000e+002,7.060425e+002,6.964664e+002,-2.704245e+001
1.216000e+001,6.870000e+002,7.064308e+002,6.968205e+002,-1.943078e+001
1.218000e+001,6.860000e+002,7.068192e+002,6.971745e+002,-2.081918e+001
1.220000e+001,7.340000e+002,7.072076e+002,6.975285e+002,2.679235e+001
1.222000e+001,6.910000e+002,7.075962e+002,6.978823e+002,-1.659620e+001
1.224000e+001,7.000000e+002,7.079848e+002,6.982360e+002,-7.984830e+000
1.226000e+001,6.690000e+002,7.083735e+002,6.985896e+002,-3.937354e+001
1.228000e+001,7.030000e+002,7.087623e+002,6.989431e+002,-5.762330e+000
1.230000e+001,7.070000e+002,7.091512e+002,6.992965e+002,-2.151203e+000
1.232000e+001,6.680000e+002,7.095402e+002,6.996498e+002,-4.154016e+001
1.234000e+001,6.900000e+002,7.099292e+002,7.000030e+002,-1.992920e+001
1.236000e+001,6.640000e+002,7.103183e+002,7.003561e+002,-4.631833e+001
1.238000e+001,6.470000e+002,7.107075e+002,7.007091e+002,-6.370755e+001
1.240000e+001,6.820000e+002,7.110969e+002,7.010619e+002,-2.909685e+001
